,1. open,2. high,3. low,4. close,5. volume
2024-05-14,187.51,188.3,186.29,187.43,50477799
2024-05-13,185.435,187.1,184.62,186.28,72044809
2024-05-10,184.9,185.09,182.13,183.05,50759496
2024-05-09,182.56,184.66,182.11,184.57,48982972
2024-05-08,182.85,183.07,181.45,182.74,45057087
2024-05-07,183.45,184.9,181.32,182.4,77305771
2024-05-06,182.354,184.2,180.42,181.71,78569667
2024-05-03,186.645,187,182.66,183.38,163224109
